Freq.	V(v1)/I(V1)
3.25625625625623e+09	-8.12527320231668e+02,-5.65123416416137e+02
3.25725725725723e+09	-8.14536810443137e+02,-5.63692529211166e+02
3.25825825825823e+09	-8.16542281124684e+02,-5.62249632982711e+02
3.25925925925923e+09	-8.18543635176772e+02,-5.60794729897601e+02
3.26026026026023e+09	-8.20540775228959e+02,-5.59327823079171e+02
3.26126126126123e+09	-8.22533603650655e+02,-5.57848916614141e+02
3.26226226226223e+09	-8.24522022561893e+02,-5.56358015559399e+02
3.26326326326323e+09	-8.26505933844431e+02,-5.54855125948597e+02
3.26426426426423e+09	-8.28485239152802e+02,-5.53340254798687e+02
3.26526526526523e+09	-8.30459839925665e+02,-5.51813410116260e+02
3.26626626626623e+09	-8.32429637397216e+02,-5.50274600903775e+02
3.26726726726724e+09	-8.34394532608796e+02,-5.48723837165617e+02
3.26826826826824e+09	-8.36354426420534e+02,-5.47161129914076e+02
3.26926926926924e+09	-8.38309219523280e+02,-5.45586491175083e+02
3.27027027027024e+09	-8.40258812450545e+02,-5.43999933993865e+02
3.27127127127124e+09	-8.42203105590639e+02,-5.42401472440415e+02
3.27227227227224e+09	-8.44141999198904e+02,-5.40791121614819e+02
3.27327327327324e+09	-8.46075393410142e+02,-5.39168897652386e+02
3.27427427427424e+09	-8.48003188251070e+02,-5.37534817728670e+02
3.27527527527524e+09	-8.49925283652988e+02,-5.35888900064278e+02
3.27627627627624e+09	-8.51841579464534e+02,-5.34231163929519e+02
3.27727727727724e+09	-8.53751975464556e+02,-5.32561629648891e+02
3.27827827827824e+09	-8.55656371375088e+02,-5.30880318605393e+02
3.27927927927925e+09	-8.57554666874517e+02,-5.29187253244621e+02
3.28028028028025e+09	-8.59446761610733e+02,-5.27482457078744e+02
3.28128128128125e+09	-8.61332555214514e+02,-5.25765954690237e+02
3.28228228228225e+09	-8.63211947312946e+02,-5.24037771735465e+02
3.28328328328325e+09	-8.65084837542981e+02,-5.22297934948043e+02
3.28428428428425e+09	-8.66951125565036e+02,-5.20546472142061e+02
3.28528528528525e+09	-8.68810711076817e+02,-5.18783412215021e+02
3.28628628628625e+09	-8.70663493827068e+02,-5.17008785150684e+02
3.28728728728725e+09	-8.72509373629566e+02,-5.15222622021623e+02
3.28828828828825e+09	-8.74348250377129e+02,-5.13424954991623e+02
3.28928928928925e+09	-8.76180024055677e+02,-5.11615817317884e+02
3.29029029029026e+09	-8.78004594758480e+02,-5.09795243352963e+02
3.29129129129126e+09	-8.79821862700378e+02,-5.07963268546572e+02
3.29229229229226e+09	-8.81631728232151e+02,-5.06119929447104e+02
3.29329329329326e+09	-8.83434091854920e+02,-5.04265263702990e+02
3.29429429429426e+09	-8.85228854234629e+02,-5.02399310063811e+02
3.29529529529526e+09	-8.87015916216587e+02,-5.00522108381211e+02
3.29629629629626e+09	-8.88795178840084e+02,-4.98633699609572e+02
3.29729729729726e+09	-8.90566543353062e+02,-4.96734125806465e+02
3.29829829829826e+09	-8.92329911226821e+02,-4.94823430132903e+02
3.29929929929926e+09	-8.94085184170781e+02,-4.92901656853342e+02
3.30030030030026e+09	-8.95832264147319e+02,-4.90968851335462e+02
3.30130130130127e+09	-8.97571053386602e+02,-4.89025060049713e+02
3.30230230230227e+09	-8.99301454401514e+02,-4.87070330568636e+02
3.30330330330327e+09	-9.01023370002528e+02,-4.85104711565962e+02
3.30430430430427e+09	-9.02736703312731e+02,-4.83128252815447e+02
3.30530530530527e+09	-9.04441357782739e+02,-4.81141005189510e+02
3.30630630630627e+09	-9.06137237205758e+02,-4.79143020657597e+02
3.30730730730727e+09	-9.07824245732589e+02,-4.77134352284316e+02
3.30830830830827e+09	-9.09502287886622e+02,-4.75115054227385e+02
3.30930930930927e+09	-9.11171268578960e+02,-4.73085181735229e+02
3.31031031031027e+09	-9.12831093123385e+02,-4.71044791144466e+02
3.31131131131127e+09	-9.14481667251469e+02,-4.68993939877042e+02
3.31231231231227e+09	-9.16122897127563e+02,-4.66932686437206e+02
3.31331331331328e+09	-9.17754689363870e+02,-4.64861090408182e+02
3.31431431431428e+09	-9.19376951035456e+02,-4.62779212448623e+02
3.31531531531528e+09	-9.20989589695249e+02,-4.60687114288827e+02
3.31631631631628e+09	-9.22592513389015e+02,-4.58584858726704e+02
3.31731731731728e+09	-9.24185630670312e+02,-4.56472509623482e+02
3.31831831831828e+09	-9.25768850615437e+02,-4.54350131899183e+02
3.31931931931928e+09	-9.27342082838272e+02,-4.52217791527863e+02
3.32032032032028e+09	-9.28905237505163e+02,-4.50075555532578e+02
3.32132132132128e+09	-9.30458225349694e+02,-4.47923491980139e+02
3.32232232232228e+09	-9.32000957687460e+02,-4.45761669975603e+02
3.32332332332328e+09	-9.33533346430744e+02,-4.43590159656507e+02
3.32432432432429e+09	-9.35055304103167e+02,-4.41409032186891e+02
3.32532532532529e+09	-9.36566743854249e+02,-4.39218359751055e+02
3.32632632632629e+09	-9.38067579473940e+02,-4.37018215547057e+02
3.32732732732729e+09	-9.39557725406985e+02,-4.34808673780045e+02
3.32832832832829e+09	-9.41037096767383e+02,-4.32589809655206e+02
3.32932932932929e+09	-9.42505609352554e+02,-4.30361699370642e+02
3.33033033033029e+09	-9.43963179657574e+02,-4.28124420109889e+02
3.33133133133129e+09	-9.45409724889285e+02,-4.25878050034208e+02
3.33233233233229e+09	-9.46845162980237e+02,-4.23622668274718e+02
3.33333333333329e+09	-9.48269412602642e+02,-4.21358354924188e+02
3.33433433433429e+09	-9.49682393182112e+02,-4.19085191028676e+02
3.33533533533530e+09	-9.51084024911383e+02,-4.16803258578890e+02
3.33633633633630e+09	-9.52474228763842e+02,-4.14512640501337e+02
3.33733733733730e+09	-9.53852926507012e+02,-4.12213420649221e+02
3.33833833833830e+09	-9.55220040715842e+02,-4.09905683793159e+02
3.33933933933930e+09	-9.56575494785923e+02,-4.07589515611597e+02
3.34034034034030e+09	-9.57919212946552e+02,-4.05265002681072e+02
3.34134134134130e+09	-9.59251120273645e+02,-4.02932232466215e+02
3.34234234234230e+09	-9.60571142702518e+02,-4.00591293309560e+02
3.34334334334330e+09	-9.61879207040569e+02,-3.98242274421067e+02
3.34434434434430e+09	-9.63175240979688e+02,-3.95885265867570e+02
3.34534534534530e+09	-9.64459173108689e+02,-3.93520358561817e+02
3.34634634634630e+09	-9.65730932925423e+02,-3.91147644251474e+02
3.34734734734731e+09	-9.66990450848801e+02,-3.88767215507849e+02
3.34834834834831e+09	-9.68237658230672e+02,-3.86379165714379e+02
3.34934934934931e+09	-9.69472487367473e+02,-3.83983589054988e+02
3.35035035035031e+09	-9.70694871511760e+02,-3.81580580502176e+02
3.35135135135131e+09	-9.71904744883503e+02,-3.79170235804973e+02
3.35235235235231e+09	-9.73102042681261e+02,-3.76752651476650e+02
3.35335335335331e+09	-9.74286701093117e+02,-3.74327924782277e+02
3.35435435435431e+09	-9.75458657307464e+02,-3.71896153726061e+02
3.35535535535531e+09	-9.76617849523569e+02,-3.69457437038534e+02
3.35635635635631e+09	-9.77764216961966e+02,-3.67011874163526e+02
3.35735735735731e+09	-9.78897699874599e+02,-3.64559565245022e+02
3.35835835835832e+09	-9.80018239554855e+02,-3.62100611113733e+02
3.35935935935932e+09	-9.81125778347257e+02,-3.59635113273665e+02
3.36036036036032e+09	-9.82220259657097e+02,-3.57163173888333e+02
3.36136136136132e+09	-9.83301627959708e+02,-3.54684895766990e+02
3.36236236236232e+09	-9.84369828809641e+02,-3.52200382350549e+02
3.36336336336332e+09	-9.85424808849541e+02,-3.49709737697474e+02
3.36436436436432e+09	-9.86466515818836e+02,-3.47213066469430e+02
3.36536536536532e+09	-9.87494898562197e+02,-3.44710473916846e+02
3.36636636636632e+09	-9.88509907037759e+02,-3.42202065864308e+02
3.36736736736732e+09	-9.89511492325114e+02,-3.39687948695822e+02
3.36836836836832e+09	-9.90499606633069e+02,-3.37168229339959e+02
3.36936936936933e+09	-9.91474203307193e+02,-3.34643015254819e+02
3.37037037037033e+09	-9.92435236837078e+02,-3.32112414412941e+02
3.37137137137133e+09	-9.93382662863381e+02,-3.29576535286073e+02
3.37237237237233e+09	-9.94316438184635e+02,-3.27035486829785e+02
3.37337337337333e+09	-9.95236520763792e+02,-3.24489378468018e+02
3.37437437437433e+09	-9.96142869734540e+02,-3.21938320077515e+02
3.37537537537533e+09	-9.97035445407343e+02,-3.19382421972135e+02
3.37637637637633e+09	-9.97914209275254e+02,-3.16821794887096e+02
3.37737737737733e+09	-9.98779124019463e+02,-3.14256549963100e+02
3.37837837837833e+09	-9.99630153514577e+02,-3.11686798730405e+02
3.37937937937933e+09	-1.00046726283367e+03,-3.09112653092782e+02
3.38038038038033e+09	-1.00129041825305e+03,-3.06534225311386e+02
3.38138138138134e+09	-1.00209958725680e+03,-3.03951627988617e+02
3.38238238238234e+09	-1.00289473854100e+03,-3.01364974051848e+02
3.38338338338334e+09	-1.00367584201774e+03,-2.98774376737111e+02
3.38438438438434e+09	-1.00444286881885e+03,-2.96179949572739e+02
3.38538538538534e+09	-1.00519579129936e+03,-2.93581806362935e+02
3.38638638638634e+09	-1.00593458304071e+03,-2.90980061171319e+02
3.38738738738734e+09	-1.00665921885367e+03,-2.88374828304403e+02
3.38838838838834e+09	-1.00736967478105e+03,-2.85766222295027e+02
3.38938938938934e+09	-1.00806592810001e+03,-2.83154357885832e+02
3.39039039039034e+09	-1.00874795732431e+03,-2.80539350012581e+02
3.39139139139134e+09	-1.00941574220609e+03,-2.77921313787571e+02
3.39239239239235e+09	-1.01006926373751e+03,-2.75300364482956e+02
3.39339339339335e+09	-1.01070850415206e+03,-2.72676617514130e+02
3.39439439439435e+09	-1.01133344692562e+03,-2.70050188422987e+02
3.39539539539535e+09	-1.01194407677729e+03,-2.67421192861314e+02
3.39639639639635e+09	-1.01254037966986e+03,-2.64789746574079e+02
