#Parameters = {H=1.52; R=0.5; a=21.9; delta=0.5; feed_x=3.53015; feed_y=17.264891287914; gap=2.01579; gnd_x=100; gnd_y=60; mod_ratio=1.0715; patch_x=26.0766; patch_y=20.438637424172; res_ratio=26.36; res_x=12.300513299113; res_y=0.5; short_pos=-13.235108712086; t=0.035}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
3.0000000000000	-0.32923108956700
3.0009999275208	-0.33729947542456
3.0020000934601	-0.34529824353720
3.0030000209808	-0.35320088110684
3.0039999485016	-0.36097905307677
3.0050001144409	-0.36861059015649
3.0060000419617	-0.37606936052285
3.0069999694824	-0.38333355256986
3.0079998970032	-0.39038026192667
3.0090000629425	-0.39718709441570
3.0099999904633	-0.40373626851696
3.0109999179840	-0.41000886394957
3.0120000839233	-0.41598553765180
3.0130000114441	-0.42165334530274
3.0139999389648	-0.42699589410475
3.0150001049042	-0.43200091800903
3.0160000324249	-0.43665752146770
3.0169999599457	-0.44095448380363
3.0179998874664	-0.44488442339679
3.0190000534058	-0.44844178837338
3.0199999809265	-0.45161989600794
3.0209999084473	-0.45441671499605
3.0220000743866	-0.45682959389206
3.0230000019073	-0.45885919224221
3.0239999294281	-0.46050621756985
3.0250000953674	-0.46177538752963
3.0260000228882	-0.46266919004364
3.0269999504089	-0.46319599207580
3.0280001163483	-0.46336107048387
3.0290000438690	-0.46317566501763
3.0299999713898	-0.46264798296853
3.0309998989105	-0.46179095648151
3.0320000648499	-0.46061628553905
3.0329999923706	-0.45913912601675
3.0339999198914	-0.45737202599447
3.0350000858307	-0.45533325302510
3.0360000133514	-0.45303777741885
3.0369999408722	-0.45050450357043
3.0380001068115	-0.44775057579922
3.0390000343323	-0.44479445651527
3.0399999618530	-0.44165679116959
3.0409998893738	-0.43835568693880
3.0420000553131	-0.43491263255530
3.0429999828339	-0.43134690685202
3.0439999103546	-0.42767959350570
3.0450000762939	-0.42393142234742
3.0460000038147	-0.42012172399254
3.0469999313354	-0.41627159859508
3.0480000972748	-0.41240238839736
3.0490000247955	-0.40853222585192
3.0499999523163	-0.40468209832849
3.0510001182556	-0.40087204382721
3.0520000457764	-0.39711954200337
3.0529999732971	-0.39344333212149
3.0539999008179	-0.38986187383812
