Freq.	S11(v1)	S21(v1)	S12(v1)	S22(v1)
2.57357357357357e+09	(-1.16158039850498e+00dB,1.36260955153616e+02°)	(-6.29553512591167e+00dB,1.38162969745730e+02°)	(-6.29553512591167e+00dB,1.38162969745730e+02°)	(-1.16152672168937e+00dB,-3.99335836187169e+01°)
2.57757757757758e+09	(-1.17547150672018e+00dB,1.36080504372158e+02°)	(-6.25053885847891e+00dB,1.37985475715169e+02°)	(-6.25053885847891e+00dB,1.37985475715169e+02°)	(-1.17541770098710e+00dB,-4.01081179885848e+01°)
2.58158158158158e+09	(-1.18953711546118e+00dB,1.35899124559427e+02°)	(-6.20559160258992e+00dB,1.37807052628265e+02°)	(-6.20559160258992e+00dB,1.37807052628265e+02°)	(-1.18948317965535e+00dB,-4.02835814028772e+01°)
2.58558558558558e+09	(-1.20377956492010e+00dB,1.35716810996436e+02°)	(-6.16069414329953e+00dB,1.37627695765863e+02°)	(-6.16069414329953e+00dB,1.37627695765863e+02°)	(-1.20372549787113e+00dB,-4.04599785804831e+01°)
2.58958958958959e+09	(-1.21820122805614e+00dB,1.35533558979690e+02°)	(-6.11584728019441e+00dB,1.37447400424304e+02°)	(-6.11584728019441e+00dB,1.37447400424304e+02°)	(-1.21814702857825e+00dB,-4.06373142247937e+01°)
2.59359359359359e+09	(-1.23280451105212e+00dB,1.35349363822477e+02°)	(-6.07105182751405e+00dB,1.37266161916703e+02°)	(-6.07105182751405e+00dB,1.37266161916703e+02°)	(-1.23275017794388e+00dB,-4.08155930224185e+01°)
2.59759759759760e+09	(-1.24759185377714e+00dB,1.35164220856173e+02°)	(-6.02630861427047e+00dB,1.37083975574263e+02°)	(-6.02630861427047e+00dB,1.37083975574263e+02°)	(-1.24753738582118e+00dB,-4.09948196418726e+01°)
2.60160160160160e+09	(-1.26256573025545e+00dB,1.34978125431593e+02°)	(-5.98161848436639e+00dB,1.36900836747623e+02°)	(-5.98161848436639e+00dB,1.36900836747623e+02°)	(-1.26251112621822e+00dB,-4.11749987322327e+01°)
2.60560560560560e+09	(-1.27772864914161e+00dB,1.34791072920361e+02°)	(-5.93698229671229e+00dB,1.36716740808227e+02°)	(-5.93698229671229e+00dB,1.36716740808227e+02°)	(-1.27767390777300e+00dB,-4.13561349217626e+01°)
2.60960960960961e+09	(-1.29308315420193e+00dB,1.34603058716317e+02°)	(-5.89240092534178e+00dB,1.36531683149733e+02°)	(-5.89240092534178e+00dB,1.36531683149733e+02°)	(-1.29302827423504e+00dB,-4.15382328165073e+01°)
2.61361361361361e+09	(-1.30863182480251e+00dB,1.34414078236953e+02°)	(-5.84787525952520e+00dB,1.36345659189448e+02°)	(-5.84787525952520e+00dB,1.36345659189448e+02°)	(-1.30857680495335e+00dB,-4.17212969988564e+01°)
2.61761761761762e+09	(-1.32437727640382e+00dB,1.34224126924885e+02°)	(-5.80340620388161e+00dB,1.36158664369798e+02°)	(-5.80340620388161e+00dB,1.36158664369798e+02°)	(-1.32432211537097e+00dB,-4.19053320260746e+01°)
2.62162162162162e+09	(-1.34032216106199e+00dB,1.34033200249350e+02°)	(-5.75899467848882e+00dB,1.35970694159828e+02°)	(-5.75899467848882e+00dB,1.35970694159828e+02°)	(-1.34026685752629e+00dB,-4.20903424288017e+01°)
2.62562562562562e+09	(-1.35646916793684e+00dB,1.33841293707741e+02°)	(-5.71464161899133e+00dB,1.35781744056736e+02°)	(-5.71464161899133e+00dB,1.35781744056736e+02°)	(-1.35641372056107e+00dB,-4.22763327095184e+01°)
2.62962962962963e+09	(-1.37282102380695e+00dB,1.33648402827171e+02°)	(-5.67034797670620e+00dB,1.35591809587438e+02°)	(-5.67034797670620e+00dB,1.35591809587438e+02°)	(-1.37276543123551e+00dB,-4.24633073409816e+01°)
2.63363363363363e+09	(-1.38938049359167e+00dB,1.33454523166075e+02°)	(-5.62611471872669e+00dB,1.35400886310164e+02°)	(-5.62611471872669e+00dB,1.35400886310164e+02°)	(-1.38932475445019e+00dB,-4.26512707646248e+01°)
2.63763763763764e+09	(-1.40615038088036e+00dB,1.33259650315839e+02°)	(-5.58194282802328e+00dB,1.35208969816094e+02°)	(-5.58194282802329e+00dB,1.35208969816094e+02°)	(-1.40609449377542e+00dB,-4.28402273889273e+01°)
2.64164164164164e+09	(-1.42313352846892e+00dB,1.33063779902465e+02°)	(-5.53783330354235e+00dB,1.35016055731021e+02°)	(-5.53783330354235e+00dB,1.35016055731021e+02°)	(-1.42307749198764e+00dB,-4.30301815877487e+01°)
2.64564564564564e+09	(-1.44033281890375e+00dB,1.32866907588268e+02°)	(-5.49378716030206e+00dB,1.34822139717049e+02°)	(-5.49378716030206e+00dB,1.34822139717049e+02°)	(-1.44027663161346e+00dB,-4.32211376986304e+01°)
2.64964964964965e+09	(-1.45775117503332e+00dB,1.32669029073614e+02°)	(-5.44980542948544e+00dB,1.34627217474322e+02°)	(-5.44980542948544e+00dB,1.34627217474322e+02°)	(-1.45769483548116e+00dB,-4.34131000210635e+01°)
2.65365365365365e+09	(-1.47539156056739e+00dB,1.32470140098678e+02°)	(-5.40588915853047e+00dB,1.34431284742798e+02°)	(-5.40588915853047e+00dB,1.34431284742798e+02°)	(-1.47533506727997e+00dB,-4.36060728147229e+01°)
2.65765765765766e+09	(-1.49325698064430e+00dB,1.32270236445251e+02°)	(-5.36203941121697e+00dB,1.34234337304040e+02°)	(-5.36203941121697e+00dB,1.34234337304040e+02°)	(-1.49320033212724e+00dB,-4.38000602976666e+01°)
2.66166166166166e+09	(-1.51135048240607e+00dB,1.32069313938569e+02°)	(-5.31825726775031e+00dB,1.34036370983056e+02°)	(-5.31825726775031e+00dB,1.34036370983056e+02°)	(-1.51129367714365e+00dB,-4.39950666445020e+01°)
2.66566566566566e+09	(-1.52967515558187e+00dB,1.31867368449185e+02°)	(-5.27454382484158e+00dB,1.33837381650165e+02°)	(-5.27454382484158e+00dB,1.33837381650165e+02°)	(-1.52961819203665e+00dB,-4.41910959845168e+01°)
2.66966966966967e+09	(-1.54823413307990e+00dB,1.31664395894872e+02°)	(-5.23090019578427e+00dB,1.33637365222902e+02°)	(-5.23090019578427e+00dB,1.33637365222902e+02°)	(-1.54817700969219e+00dB,-4.43881523997762e+01°)
2.67367367367367e+09	(-1.56703059158770e+00dB,1.31460392242556e+02°)	(-5.18732751052698e+00dB,1.33436317667952e+02°)	(-5.18732751052698e+00dB,1.33436317667952e+02°)	(-1.56697330677526e+00dB,-4.45862399231854e+01°)
2.67767767767768e+09	(-1.58606775218142e+00dB,1.31255353510294e+02°)	(-5.14382691574240e+00dB,1.33234235003123e+02°)	(-5.14382691574240e+00dB,1.33234235003123e+02°)	(-1.58601030433893e+00dB,-4.47853625365176e+01°)
2.68168168168168e+09	(-1.60534888094393e+00dB,1.31049275769276e+02°)	(-5.10039957489198e+00dB,1.33031113299354e+02°)	(-5.10039957489199e+00dB,1.33031113299354e+02°)	(-1.60529126844258e+00dB,-4.49855241684077e+01°)
2.68568568568568e+09	(-1.62487728959213e+00dB,1.30842155145867e+02°)	(-5.05704666828662e+00dB,1.32826948682755e+02°)	(-5.05704666828663e+00dB,1.32826948682755e+02°)	(-1.62481951077913e+00dB,-4.51867286923109e+01°)
2.68968968968969e+09	(-1.64465633611376e+00dB,1.30633987823684e+02°)	(-5.01376939314245e+00dB,1.32621737336681e+02°)	(-5.01376939314245e+00dB,1.32621737336681e+02°)	(-1.64459838931189e+00dB,-4.53889799244276e+01°)
2.69369369369369e+09	(-1.66468942541373e+00dB,1.30424770045703e+02°)	(-4.97056896363235e+00dB,1.32415475503842e+02°)	(-4.97056896363235e+00dB,1.32415475503842e+02°)	(-1.66463130892084e+00dB,-4.55922816215934e+01°)
2.69769769769770e+09	(-1.68498000997042e+00dB,1.30214498116405e+02°)	(-4.92744661093246e+00dB,1.32208159488447e+02°)	(-4.92744661093246e+00dB,1.32208159488447e+02°)	(-1.68492172205895e+00dB,-4.57966374791349e+01°)
2.70170170170170e+09	(-1.70553159050206e+00dB,1.30003168403955e+02°)	(-4.88440358326380e+00dB,1.31999785658386e+02°)	(-4.88440358326380e+00dB,1.31999785658386e+02°)	(-1.70547312941851e+00dB,-4.60020511286910e+01°)
2.70570570570570e+09	(-1.72634771664362e+00dB,1.29790777342412e+02°)	(-4.84144114592843e+00dB,1.31790350447435e+02°)	(-4.84144114592843e+00dB,1.31790350447435e+02°)	(-1.72628908060803e+00dB,-4.62085261360013e+01°)
2.70970970970971e+09	(-1.74743198763418e+00dB,1.29577321433976e+02°)	(-4.79856058134059e+00dB,1.31579850357506e+02°)	(-4.79856058134059e+00dB,1.31579850357506e+02°)	(-1.74737317483962e+00dB,-4.64160659986589e+01°)
2.71371371371371e+09	(-1.76878805301557e+00dB,1.29362797251268e+02°)	(-4.75576318905193e+00dB,1.31368281960929e+02°)	(-4.75576318905193e+00dB,1.31368281960929e+02°)	(-1.76872906162755e+00dB,-4.66246741438310e+01°)
2.71771771771772e+09	(-1.79041961334208e+00dB,1.29147201439645e+02°)	(-4.71305028577101e+00dB,1.31155641902760e+02°)	(-4.71305028577101e+00dB,1.31155641902760e+02°)	(-1.79036044149800e+00dB,-4.68343539259456e+01°)
2.72172172172172e+09	(-1.81233042090184e+00dB,1.28930530719541e+02°)	(-4.67042320537705e+00dB,1.30941926903131e+02°)	(-4.67042320537705e+00dB,1.30941926903131e+02°)	(-1.81227106671042e+00dB,-4.70451086243453e+01°)
2.72572572572572e+09	(-1.83452428045027e+00dB,1.28712781888853e+02°)	(-4.62788329892709e+00dB,1.30727133759625e+02°)	(-4.62788329892709e+00dB,1.30727133759625e+02°)	(-1.83446474199096e+00dB,-4.72569414409083e+01°)
2.72972972972973e+09	(-1.85700504995571e+00dB,1.28493951825345e+02°)	(-4.58543193465710e+00dB,1.30511259349691e+02°)	(-4.58543193465711e+00dB,1.30511259349691e+02°)	(-1.85694532527807e+00dB,-4.74698554976368e+01°)
